id;x;y
242144963;-8.3914498;41.5612005
242144967;-8.3934244;41.5608209
242144968;-8.3936712;41.5606912
242145157;-8.3798416;41.5688046
242145159;-8.3797073;41.5686869
242145161;-8.3797119;41.5685783
242145162;-8.3798922;41.5684793
242145165;-8.3800918;41.568532
242145168;-8.3801257;41.5687292
242145548;-8.3782007;41.566222
242199894;-8.3814415;41.552085
242199895;-8.3815709;41.5520914
242200361;-8.381146;41.5533875
242200628;-8.3819173;41.5528961
242543311;-8.3795058;41.5689391
242543336;-8.3761858;41.5707254
242554031;-8.4063558;41.5591784
242554032;-8.4064775;41.5602712
242554076;-8.4056409;41.5596757
242554077;-8.4064026;41.5596286
242554105;-8.4057315;41.5605158
242554190;-8.4059414;41.562462
242554443;-8.4030938;41.5584412
242554444;-8.4034511;41.5598292
242636401;-8.4202183;41.563494
242636404;-8.4201292;41.5634059
242636407;-8.4199948;41.5633787
242636408;-8.4198199;41.5634555
242636409;-8.4197942;41.563498
242636410;-8.4198347;41.5636487
242636412;-8.4198779;41.5636792
242637225;-8.4193412;41.5650572
242638073;-8.4185279;41.5630423
242641196;-8.4283764;41.5719285
242641600;-8.426403;41.5701807
242641610;-8.4266883;41.5698396
242641613;-8.4269208;41.5699287
242641617;-8.4269864;41.5700772
242641620;-8.4266263;41.5703003
242642496;-8.4268566;41.5702602
242645545;-8.4327532;41.5651161
242645546;-8.4328887;41.5651796
242645548;-8.4330009;41.5653641
242645549;-8.4329557;41.5655144
242645551;-8.4328502;41.5656053
242645752;-8.4323925;41.5655992
242645871;-8.4322625;41.5654471
242647835;-8.4239116;41.5721249
242648198;-8.4239556;41.5720383
242649094;-8.4259991;41.5710285
242649240;-8.4263185;41.5710522
242649906;-8.4241743;41.5701586
242650330;-8.4246854;41.5720705
242650344;-8.4285604;41.572237
242708341;-8.4233327;41.5721705
242708344;-8.4233405;41.5720073
242708348;-8.4229865;41.5720148
242708349;-8.4229646;41.5720717
242708351;-8.4230381;41.5722015
242708498;-8.4019212;41.5437085
242708499;-8.402073;41.5450014
242961956;-8.409109;41.5364041
242961966;-8.4076732;41.5382289
242961967;-8.4077298;41.5383955
242961968;-8.4076562;41.5386662
242962089;-8.4079599;41.5386126
242963310;-8.4083633;41.5385676
242963835;-8.409298;41.5372673
242965932;-8.4094191;41.5377795
242965933;-8.4095732;41.5384402
242965934;-8.4097366;41.5391631
242965935;-8.4099312;41.5400261
242966463;-8.4108342;41.5386863
242967015;-8.4113661;41.538636
242968791;-8.4069214;41.5392871
242969318;-8.4086855;41.5398998
242970054;-8.4084581;41.5400179
242971966;-8.4073884;41.5395402
242971969;-8.4080617;41.5402738
