u;v;oneway;length;geometry;name
245058962;1462972942;True;85.691;LINESTRING (-8.4205498 41.5518102, -8.4209108 41.551798, -8.4213904 41.5517819, -8.4215785 41.551775);Avenida Central
245058962;2057080325;True;187.69;LINESTRING (-8.4183114 41.5516399, -8.4185472 41.551663, -8.4189345 41.5517016, -8.4194019 41.5517566, -8.4198915 41.5518035, -8.4201872 41.5518251, -8.4204732 41.5518128, -8.4205498 41.5518102);Avenida Central
330378787;2681450611;True;136.885;LINESTRING (-8.4183749 41.5542877, -8.4185274 41.5534139, -8.4185046 41.5530645);['Rua do Sardoal', 'Rua da Regueira']
330378787;1241195355;True;200.625;LINESTRING (-8.4183749 41.5542877, -8.4191039 41.5544241, -8.4196594 41.5545405, -8.4200957 41.5546766, -8.4201957 41.5546848, -8.4206995 41.5546281);Rua de Camões
330378787;3928549593;True;58.37500000000001;LINESTRING (-8.4177266 41.5543361, -8.4177536 41.5543068, -8.417951 41.5542295, -8.4182122 41.5542604, -8.4183749 41.5542877);Rua de Camões
343675936;3928549593;False;69.756;LINESTRING (-8.4169997 41.5546375, -8.4170992 41.5545901, -8.4171595 41.5545888, -8.4177266 41.5543361);Rua de Camões
343676521;343676599;True;112.368;LINESTRING (-8.4207235 41.5550068, -8.4207571 41.5555513, -8.4207846 41.5555893, -8.4210976 41.5559029, -8.4211206 41.5559285);Rua de Santa Teresa
343676521;1640687796;True;70.913;LINESTRING (-8.4218036 41.5555472, -8.4215817 41.555674, -8.4211701 41.5558985, -8.4211206 41.5559285);Rua de São Vicente
343676599;1241195355;False;42.157;;Rua das Oliveiras
343676599;343676622;False;62.480999999999995;LINESTRING (-8.4207235 41.5550068, -8.4208068 41.5550053, -8.4211564 41.554999, -8.4212649 41.5550301, -8.4214272 41.5551197);Largo das Teresinhas
343676622;343677045;True;181.471;LINESTRING (-8.4214272 41.5551197, -8.4218847 41.5546957, -8.4219117 41.5546459, -8.4220253 41.5536161);Rua São Barnabé
343676622;343676754;True;56.565;LINESTRING (-8.4219671 41.5554285, -8.4216541 41.555258, -8.4214272 41.5551197);Rua de Espanha
343676754;1640687796;True;18.955;;Rua de São Vicente
343676754;1640687810;True;67.088;LINESTRING (-8.4225214 41.5549904, -8.422398 41.5550845, -8.4219671 41.5554285);Rua de São Vicente
361089891;1331166091;True;162.55700000000002;LINESTRING (-8.4281512 41.5507855, -8.4272019 41.5508431, -8.4273416 41.5513981, -8.4273848 41.5515282, -8.4274023 41.5515768);Praça Municipal
361089891;361089893;True;48.347;;Praça Municipal
361089891;361089952;True;52.721000000000004;LINESTRING (-8.4282552 41.5512532, -8.4282004 41.5510088, -8.4281512 41.5507855);Praça Municipal
361089893;914277410;True;42.528;;Rua Dom Frei Caetano Brandão
361089952;914277410;True;46.648;LINESTRING (-8.4282552 41.5512532, -8.4287297 41.551126, -8.4287857 41.5511201);Praça Municipal
361089952;1331166091;True;79.574;;Praça Municipal
361090709;1786193330;True;125.536;LINESTRING (-8.4274416 41.548949, -8.4271805 41.5484411, -8.427099 41.5482486, -8.4275169 41.5480278);['Rua de São Paulo', 'Rua de Santiago']
361090709;1786193355;True;53.226;;Rua Dom Afonso Henriques
361090716;1818309995;True;22.703999999999997;LINESTRING (-8.4285207 41.5474986, -8.4285962 41.547478, -8.4287783 41.5474314);Rua São Sebastião
361090716;1818309989;True;15.34;LINESTRING (-8.4285207 41.5474986, -8.4285247 41.5474399, -8.4285058 41.547362);Largo Paulo Orósio
361091565;361091678;True;11.905;;Praça do Comércio
361091565;1480221499;True;235.869;LINESTRING (-8.4269297 41.5549087, -8.4286026 41.5545057, -8.4282972 41.5537327);Praça do Comércio
1353874672;1480230941;False;43.69;;Rua Gabriel Pereira de Castro
1353874672;1640687810;False;61.32;;Rua Júlio Lima
1462972897;2439088601;True;115.657;LINESTRING (-8.4216966 41.5489174, -8.4212143 41.5480966, -8.421071 41.5480013);Avenida da Liberdade
1462972897;1462972900;True;14.338;;Rua do Raio
1462972900;2439088601;True;118.83500000000001;LINESTRING (-8.4215584 41.5489944, -8.4210668 41.5481366, -8.421071 41.5480013);Avenida da Liberdade
1462972900;1851905243;True;117.11;LINESTRING (-8.4204208 41.5496143, -8.4205111 41.5495659, -8.4208433 41.5493879, -8.4213475 41.5491118, -8.4215177 41.5490186, -8.4215584 41.5489944);Rua do Raio
